imagem,codigo_ativo,fabricante,modelo,numero_serie,potencia
placa_teste_01.jpg,N/A,WAL-TECH,N/A,N/A,N/A
placa_teste_02.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_03.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_04.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_05.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_06.jpg,64-M-1732,N/A,N/A,N/A,N/A
placa_teste_07.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_08.jpg,N/A,SIEMENS,SD100 IEEE,Q2-E16T0037NPI 03,100 HP
placa_teste_09.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_10.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_11.jpg,62-M-4012,N/A,N/A,N/A,40 HP
placa_teste_12.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_13.jpg,62-M-5018,N/A,N/A,N/A,150 HP
placa_teste_14.jpg,N/A,General Electric,5KS213CPA3311D9,N/A,7.5 HP
placa_teste_15.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_16.jpg,66-M-1522,N/A,N/A,N/A,2 HP
placa_teste_17.jpg,N/A,N/A,N/A,IS-80,N/A
placa_teste_18.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_19.jpg,N/A,ECONOLINE,N/A,N/A,N/A
placa_teste_20.jpg,025-M-1432,N/A,N/A,N/A,50 HP
placa_teste_21.jpg,N/A,DoALL,2013-V3,721-19107,N/A
placa_teste_22.jpg,N/A,MAXIEM WATERJETS,1515,M15155159,N/A
placa_teste_23.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_24.jpg,027-ZSO-7218,N/A,N/A,N/A,N/A
placa_teste_25.jpg,24-1342,N/A,N/A,N/A,N/A
placa_teste_26.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_27.jpg,024-FY-0125,FIELDVUE,N/A,N/A,N/A
placa_teste_28.jpg,N/A,WAL-TECH,N/A,N/A,N/A
placa_teste_29.jpg,N/A,N/A,N/A,N/A,N/A
placa_teste_30.jpg,N/A,WAL-TECH,N/A,N/A,N/A
