imagem,easyocr_texto_bruto,tesseract_texto_bruto,easyocr_codigo_ativo,easyocr_fabricante,easyocr_modelo,easyocr_numero_serie,easyocr_potencia,tesseract_codigo_ativo,tesseract_fabricante,tesseract_modelo,tesseract_numero_serie,tesseract_potencia,gpt4o_codigo_ativo,gpt4o_fabricante,gpt4o_modelo,gpt4o_numero_serie,gpt4o_potencia
placa_teste_01.jpg,CA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAL-TACH,N/A,N/A,N/A
placa_teste_02.jpg,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_03.jpg,DANGER 1 8 0 1 1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_04.jpg,0867 10289990,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0867 10289990,N/A
placa_teste_05.jpg,3,"wp oe
4

te hse Neo -
te 2 ;",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_06.jpg,"MOTOR: ""B"" E-2 LQUOR FL 0867 Compartment 04-06 MCC TRANSFER 8 1 PUMP 3",030-120-010-030,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64-M-1732,N/A,N/A,N/A,N/A
placa_teste_07.jpg,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_08.jpg,IE3 9 SIEMENS 7 EEE 2 6 TEEL 1 PART 2 BEARINGS SERIAL 2 541 1 NSUL F 3 Cx 2 1 8 3 AMB Min 2 0 5 3 94.1 93.6 8 3 3 8 3 COMPA 2 3 1 LINE 1 Mexico by SIEMENS 8 1,"SUAN) (eee 2
URINE CANS RAME: 105 :
Ne “ae=eseToOsTIP ee",N/A,Siemens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SIEMENS,SD100 IE3,Q2-E81600371P,1500 kW
placa_teste_09.jpg,2,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_10.jpg,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
placa_teste_11.jpg,FL: 2 8 8 8 8 Agitator 1C,"MOTOR.

sticizer Agitator
&p

; 66-9010 ©

we - Compartment1C 4

HP:40.00 FRAME:
FLA:60.3 RPM:1800 -

Fi: 0867-04-01-020-030-01 0-030

< aes

4
§ Ag
X vy a""

PP re, Wor 6

;",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4 HP,62-M-4012,N/A,N/A,N/A,400 HP
